0,0.1867,0.9531,0.3222,0.9093
20,0.0418,1.0000,0.3222,0.9093
40,0.0535,0.9531,0.3222,0.9093
60,0.1311,0.9688,0.3222,0.9093
80,0.1404,0.9531,0.3222,0.9093
100,0.1237,0.9531,0.3222,0.9093
120,0.1200,0.9688,0.3222,0.9093
140,0.1404,0.9219,0.3222,0.9093
160,0.0922,0.9688,0.3222,0.9093
180,0.0689,0.9844,0.3222,0.9093
200,0.0787,0.9844,0.3222,0.9093
220,0.2013,0.9688,0.3222,0.9093
240,0.2266,0.9375,0.3222,0.9093
260,0.1418,0.9531,0.3222,0.9093
280,0.1299,0.9688,0.3222,0.9093
300,0.0750,0.9844,0.3222,0.9093
320,0.0459,0.9844,0.3222,0.9093
340,0.2446,0.8906,0.3222,0.9093
360,0.1537,0.9531,0.3222,0.9093
380,0.0906,0.9688,0.3222,0.9093
400,0.0844,0.9688,0.3222,0.9093
420,0.0499,0.9844,0.3222,0.9093
421,0.2580,0.8929,0.3222,0.9093
