0,0.2969,0.8750,0.4074,0.8790
20,0.2021,0.9531,0.4051,0.8793
40,0.2574,0.9219,0.4062,0.8813
60,0.2073,0.9375,0.3785,0.8890
80,0.3341,0.8906,0.3872,0.8800
100,0.2037,0.9375,0.4062,0.8937
120,0.2784,0.8906,0.3871,0.8920
140,0.5188,0.8438,0.3744,0.8913
160,0.2929,0.9219,0.3514,0.8940
180,0.3236,0.8906,0.3425,0.8963
200,0.3262,0.8906,0.3439,0.8987
220,0.2506,0.9219,0.3615,0.8957
240,0.4654,0.8438,0.3418,0.8967
260,0.2819,0.9375,0.3320,0.8987
280,0.2275,0.9375,0.3228,0.9027
300,0.3499,0.8750,0.3369,0.9013
320,0.3041,0.9219,0.3365,0.9003
340,0.2558,0.9062,0.3155,0.9023
360,0.1170,0.9844,0.3342,0.8980
380,0.4726,0.8281,0.3143,0.9050
400,0.1168,0.9844,0.3731,0.8983
420,0.2489,0.9375,0.3274,0.9013
421,0.3240,0.8929,0.3141,0.9033
